Name,Platform,Score,Episodes,Seasons,Genre,Year,Director
Breaking Bad,AMC,9.5,62,5,Drama,2008,Vince Gilligan
The Wire,HBO,9.3,60,5,Crime,2002,David Simon
Band of Brothers,HBO,9.4,10,1,War,2001,Steven Spielberg
Chernobyl,HBO,9.4,5,1,Drama,2019,Craig Mazin
The Sopranos,HBO,9.2,86,6,Crime,1999,David Chase
Game of Thrones,HBO,9.2,73,8,Action,2011,David Benioff
Avatar: The Last Airbender,Nickelodeon,9.3,61,3,Animation,2005,Michael Dante DiMartino
Better Call Saul,AMC,9.0,63,6,Crime,2015,Vince Gilligan
The Office,NBC,9.0,201,9,Comedy,2005,Greg Daniels
Stranger Things,Netflix,8.7,34,4,Sci-Fi,2016,The Duffer Brothers
